epoch,lr,train_loss,train_acc,test_loss,test_acc,time_sec
166,0.00010000000000000003,0.0033205028196796773,99.936,0.26053377046585086,93.97,26.64417004585266
167,0.00010000000000000003,0.0033717854069173336,99.93,0.26346733992099763,93.86,27.264595985412598
168,0.00010000000000000003,0.0033496876813471316,99.924,0.2616726593255997,93.9,25.92409658432007
169,0.00010000000000000003,0.003063433252349496,99.948,0.2605131848096848,93.92,26.094678163528442
170,0.00010000000000000003,0.003011882722079754,99.948,0.2608882840156555,93.94,25.940505743026733
171,0.00010000000000000003,0.003274432669132948,99.93,0.26008910377025607,93.93,25.944689750671387
172,0.00010000000000000003,0.0032952283814549448,99.942,0.2604871599674225,93.93,25.925352334976196
173,0.00010000000000000003,0.0030855153731256723,99.956,0.2604124228000641,93.99,26.41213870048523
174,0.00010000000000000003,0.0034133757000789047,99.95,0.26194822757244113,93.96,26.64465022087097
175,0.00010000000000000003,0.0029509086978435515,99.958,0.2610466001987457,93.94,26.12584161758423
176,0.00010000000000000003,0.00338748200789094,99.936,0.26102186770439145,93.95,26.54975914955139
177,0.00010000000000000003,0.003089626433327794,99.948,0.2618724940538406,93.95,26.573802947998047
178,0.00010000000000000003,0.002960413200184703,99.958,0.2609714122772217,93.92,26.67869257926941
179,0.00010000000000000003,0.0031538749174773693,99.934,0.25962828378677366,94.06,26.784194231033325
180,0.00010000000000000003,0.002916394371688366,99.962,0.26089251987934114,93.99,26.645708799362183
181,0.00010000000000000003,0.0030331960503757,99.952,0.2604485866546631,93.93,26.14543056488037
182,0.00010000000000000003,0.0031196790551394223,99.948,0.26312702071666716,93.92,26.110002040863037
183,0.00010000000000000003,0.0032473931586742403,99.954,0.2619637778043747,93.9,26.33997917175293
184,0.00010000000000000003,0.0035911199326068162,99.918,0.261069567155838,93.99,26.162217140197754
185,0.00010000000000000003,0.002974396721273661,99.952,0.2599274748802185,94.01,26.12488603591919
186,0.00010000000000000003,0.003000711402371526,99.954,0.2615638453960419,93.97,26.33890151977539
187,0.00010000000000000003,0.0030207781925052405,99.936,0.26069230813980104,93.9,25.90372347831726
188,0.00010000000000000003,0.0030219980412721633,99.952,0.2606677111148834,93.88,26.166511058807373
189,0.00010000000000000003,0.0035845010240375995,99.932,0.2602342087507248,93.88,26.323601245880127
190,0.00010000000000000003,0.0027812831769883635,99.958,0.26209262483119966,93.93,26.135322093963623
191,0.00010000000000000003,0.0032092924792319535,99.944,0.2590774004936218,93.83,26.148854970932007
192,0.00010000000000000003,0.0030486644177138804,99.956,0.2610691077232361,93.89,25.94211196899414
193,0.00010000000000000003,0.00255107825525105,99.966,0.26056164910793306,93.96,26.14694356918335
194,0.00010000000000000003,0.0029602068508416414,99.954,0.2599885862827301,94.06,25.98108720779419
195,0.00010000000000000003,0.0031992814718186857,99.94,0.25954357907772063,94.06,25.90687346458435
196,0.00010000000000000003,0.0030395548874139785,99.948,0.259210470366478,94.04,26.36173987388611
197,0.00010000000000000003,0.002790542692318559,99.956,0.2592847170352936,93.94,25.881652355194092
198,0.00010000000000000003,0.003082151223346591,99.938,0.26169339683055876,93.99,25.96358823776245
199,0.00010000000000000003,0.003300805558077991,99.92,0.25954018239974974,94.03,25.92200779914856
200,0.00010000000000000003,0.0031642111641168595,99.944,0.2592588290929794,93.98,26.148616075515747
